suburb,branchCode,speedDial,region,phone1,phone2,fax,email,manager,managerPhone,supervisor,supervisorPhone,supervisor2,supervisor2Phone,daysHomeVisit,hoursOpen,saturdayHoursOpen,dom1,dom2,dom3,dom4
Killara,GD,*020029,Gordon    ,9498 7967,,,,,,,,,,TUE/THU,7.30-3.30pm,,,,,
Killarney Heights,2FR,*020729,Frenchs Forest  ,9451 7466,,,,,,,,,,WED/THU,8-3.30pm,,,,,
Killarney Vale,TG,,Tuggerah      ,4353 9668,,,,,,,,,,,7-6pm,,,,,
Killingsworth,2LB,2704,Broadmeadow        ,4907 3714,,,,,,,,,,,7.30-4pm,,,,,
Kincumber,GO,*020254,Gosford      ,4337 3555,,,,,,,,,,,7.30-5.30pm,,,,,
King Creek,2LQ,2900,Port Macquarie ,6873 2900,,,,,,,,,,,9-6pm,,,,,
Kings Cross,BZ,*020144,Bondi      ,9389 5983,,,,,,,,,,TUE,7.30-4.30pm,,,,,
Kings Langley,BK,*020013,Blacktown,9622 2608,,,,,,,,,,FRI,7.30-3.30pm,,,,,
Kings Park,BK,*020013,Blacktown,9622 2608,,,,,,,,,,FRI,7.30-3.30pm,,,,,
Kingsford,2MC,*020625,Mascot,8339 0622,,,,,,,,,,MO/WE/FR,7.30-3.30pm,,,,,
Kingsgrove,MC,,Hurstville  ,9586 2411,,,,,,,,,,TUE/THUR,8-4pm,,,,,
Kingswood,B&S,*020580,Emu Plains,4735 6201,,,,,,,,,,,8-4pm,,,,,
Kirkham,CM,*020335,Camden,4655 9688,,,,,,,,,,THU,7.30-5pm,,,,,
Kirrawee,AL,*020437,Cronulla,9523 7726,,,,,,,,,,MON/THUR,8-4pm,,,,,
Kirribilli,MM,*020041,Mosman  ,9968 1832,,,,,,,,,,TUE/FRI,8-5pm,,,,,
Kogarah,MC,,Hurstville   ,9586 2411,,,,,,,,,,MO/WE/FR,8-4pm,,,,,
Koolewong,2UA,,Umina Beach,8650 1575,,,,,,,,,,,7-5.30pm,,,,,
Kotara,2LB,2704,Broadmeadow         ,4907 3714,,,,,,,,,,,7.30-4pm,,,,,
Kurmond,2RI,*020668,Richmond    ,4588 8707,,,,,,,,,,MON/THU,8-4pm,,,,,
Kurnell,AL,*020437,Cronulla,9523 7726,,,,,,,,,,TUE/FRI,8-4pm,,,,,
Kurraba Point,MM,*020041,Mosman  ,9968 1832,,,,,,,,,,,8-5pm,,,,,
Kurrajong,2RI,*020668,Richmond      ,4588 8707,,,,,,,,,,MON/THU,8-4pm,,,,,
Kurrajong Heights,2RI,*020668,Richmond,4588 8707,,,,,,,,,,MON/THU,8-4pm,,,,,
Kurri Kurri,2ES,TBA,East Maitland,4064 4515,,,,,,,,,,Mon-Thu,7-3pm,,,,,
Kyeemagh,MC,,Hurstville   ,9586 2411,,,,,,,,,,MO/WE/FR,8-4pm,,,,,
Kyle Bay,MC,,Hurstville ,9586 2411,,,,,,,,,,TUE/THUR,8-4pm,,,,,
La Perouse,2MC,*020625,Mascot,8339 0622,,,,,,,,,,MON,7.30-3.30pm,,,,,
Lake Cathie,2LQ,2900,Port Macquarie ,6868 2900,,,,,,,,,,,9-6pm,,,,,
Lake Haven,TG,,Tuggerah,4353 9668,,,,,,,,,,,8-4pm,,,,,
Lake Innes,2LQ,2900,Port Macquarie ,6875 2900,,,,,,,,,,,9-6pm,,,,,
Lake Macquarie,TT,*020284,Toronto,4959 6599,,,,,,,,,,,7.30-6pm,,,,,
Lake Munmorah,TG,,Tuggerah ,4353 9668,,,,,,,,,,,8-4pm,,,,,
Lakemba,MC,,Hurstville,9586 2411,,,,,,,,,,TUE/THUR,8-4pm,,,,,
Lakewood,2LQ,2900,Port Macquarie ,6864 2900,,,,,,,,,,,9-6pm,,,,,
Lalor Park,BK,*020013,Blacktown,9622 2608,,,,,,,,,,TUE,7.30-3.30pm,,,,,
Lambton,2LB,2704,Broadmeadow,4907 3714,,,,,,,,,,,7.30-4pm,,,,,
Landsdowne,FA,*020222,Fairfield,9726 1131,,,,,,,,,,TUE/THU,7.30-4pm,,,,,
Lane Cove,LC,*020033,Lane Cove,9427 6540,,,,,,,,,,,8-5pm,,,,,
Lansvale,FA,*020222,Fairfield,9726 1131,,,,,,,,,,TUE/THU,7.30-4pm,,,,,
Laurieton,2LQ,2900,Port Macquarie ,6589 2900,,,,,,,,,,,9-6pm,,,,,
Lavender Bay,NB,*020042,Northbridge,9958 4724,,,,,,,,,,,8-4pm,,,,,
Lawson,KA,*020948,Katoomba,4782 4181,,,,,,,,,,B&S,8-4pm,,,,,
Leichhardt,FD,*020223,Five Dock,9712 1387,,,,,,,,,,WED,8-5pm,,,,,
Lemon Tree Passage,NQ,*020459,Nelson Bay,4984 1004,,,,,,,,,,,8-4pm,,,,,
Leonay,EP,*020580,Emu Plains,4735 6201,,,,,,,,,,B&S,8-4pm,,,,,
Leppington,2XJ,*020722,Casula,8650 1336,,,,,,,,,,,7-5.30pm,,,,,
Lethbridge Park,BK,*020013,Blacktown,9622 2608,,,,,,,,,,MON,7.30-3.30pm,,,,,
Leumeah,CP,*020339,Campbelltown,4626 3483,,,,,,,,,,MON,7-6pm,,,,,
Leura,KA,*020948,Katoomba      ,4782 4181,,,,,,,,,,B&S,8-4pm,,,,,
Lewisham,FD,*020223,Five Dock      ,9712 1387,,,,,,,,,,WED,8-5pm,,,,,
Liberty Grove,FD,*020223,Five Dock        ,9712 1387,,,,,,,,,,WED,8-5pm,,,,,
Lidcombe,2XH/FA,*020142,Bankstown,9708 6363,,,,,,,,,,MON/THU,8-5pm,,,,,
Lilli Pilli,AL,*020437,Cronulla,9523 7726,,,,,,,,,,TUE/FRI,8-4pm,,,,,
Lilyfield,FD,*020223,Five Dock    ,9712 1387,,,,,,,,,,MON/WED,8-5pm,,,,,
Linden,EP,*020580,Emu Plains,4735 6201,,,,,,,,,,B&S,8-4pm,,,,,
Lindfield,CV,*020029,Chatswood Village,9498 7967,,,,,,,,,,MO/WE/FR,7.30-3.30pm,,,,,
Linley Point,LC,*020033,Lane Cove        ,9427 6540,,,,,,,,,,,8-5pm,,,,,
Lisarow,GO,*020254,Gosford     ,4337 3555,,,,,,,,,,,7.30-5.30pm,,,,,
Lithgow,LI,*020321,Lithgow        ,6351 4491,,,,,,,,,,B&S,8-4pm,,,,,
Little Bay,2MC,*020625,Mascot,8339 0622,,,,,,,,,,MO/WE/FR,7.30-3.30pm,,,,,
Liverpool,2XJ,*020722,Casula,8650 1336,,,,,,,,,,WED/FRI,7-5.30pm,,,,,
Llandilo,EP,*020580,Emu Plains,4735 6201,,,,,,,,,,B&S,8-4pm,,,,,
Lochinvar,2ES,TBA,East Maitland,4064 4515,,,,,,,,,,,7-3pm,,,,,
Loftus,SSRO,*020022,Southern Pathology,4224 7474,,,,,,,,,,,7-5.30pm,,,,,
Londonderry,2RI,*020668,Richmond      ,4588 8707,,,,,,,,,,TUE/FRI,8-4pm,,,,,
Long Jetty,TG,,Tuggerah    ,4353 9668,,,,,,,,,,,7-6pm,,,,,
Long Point,CP,*020339,Campbeltown,4626 3483,,,,,,,,,,THU,7-6pm,,,,,
Longueville ,LC,*020033,Lane Cove      ,9427 6540,,,,,,,,,,,8-5pm,,,,,
Lorn,2ES,TBA,East Maitland,4064 4515,,,,,,,,,,Mon-Thu,7-3pm,,,,,
Lower Portland,2RI,*020668,Richmond      ,4588 8707,,,,,,,,,,WED,8-4pm,,,,,
Lucas Heights,AL,*020437,Cronulla,9523 7726,,,,,,,,,,,8-4pm,,,,,
Luddenham,2XJ,*020722,Casula,8650 1336,,,,,,,,,,TUE,7-5.30pm,,,,,
Lugarno,MC,,Hurstville  ,9586 2411,,,,,,,,,,MO/WE/FR,8-4pm,,,,,
Lurnea,2XJ,*020722,Casula,8650 1336,,,,,,,,,,TUE/THU,7-5.30pm,,,,,
Macarthur,CP,*020339,Campbelltown,4626 3483,,,,,,,,,,,7-6pm,,,,,
Macquarie Fields,CP,*020339,Campbelltown,4626 3483,,,,,,,,,,TUE/THU,7-6pm,,,,,
Macquarie Links,CP,*020339,Campbelltown,4626 3483,,,,,,,,,,THU,7-6pm,,,,,
Macquarie Park,2EG,*020782,Epping     ,8650 1567,,,,,,,,,,TU/WE/FRI,8-3.30pm,,,,,
Maitland,2ES,TBA,East Maitland    ,4064 4515,,,,,,,,,,Mon-Thu,7-6pm,,,,,
Malabar,2MC,*020625,Mascot,8339 0622,,,,,,,,,,THUR,7.30-3.30pm,,,,,
Mallabula,NQ,*020459,Nelson Bay,4984 1004,,,,,,,,,,,8-4pm,,,,,
Manly ,3MY,*020548,Manly        ,9977 5492,,,,,,,,,,MO/TU/THU,7:30- 5pm,,,,,
Manly Vale,3MY,*020548,Manly        ,9977 5492,,,,,,,,,,TU/WE/FRI,7.30-5pm,,,,,
Mannering Park,TG,,Tuggerah ,4353 9668,,,,,,,,,,,8-4pm,,,,,
Maralya,2RI,*020668,Richmond     ,4566 8707,,,,,,,,,,WED,8-4pm,,,,,
Marayong,BK,*020013,Blacktown,9622 2608,,,,,,,,,,WED,7.30-3.30pm,,,,,
Mardi,TG,,Tuggerah       ,4353 9668,,,,,,,,,,,7-6pm,,,,,
